name,address,latitude,longitude,url
Ministop -  Trương Vĩnh Ký,"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",10.7943579,106.6308498,"https://www.google.com/maps/place/MINISTOP%2BTr%C6%B0%C6%A1ng%2BV%C4%A9nh%2BK%C3%BD/@10.7943579,106.6308498,17z/data=!3m1!4b1!4m6!3m5!1s0x317529000c47913d:0xcea0eca8bf9ddacd!8m2!3d10.7943579!4d106.6308498!16s/g/11y0dy1gr9"
Ministop -  Lê Văn Sỹ 2,"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",10.7887404,106.6759977,"https://www.google.com/maps/place/MINISTOP%2B-%2BS269%2B-%2BL%C3%AA%2BV%C4%83n%2BS%E1%BB%B9%2B2/@10.7887404,106.6759977,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0011390e65:0x92279e08846e38fe!8m2!3d10.7887404!4d106.6759977!16s/g/11yhs09b58"
Ministop -  Nơ Trang Long,"24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh.",10.8047368,106.6951393,"https://www.google.com/maps/place/S267%2BMinistop/@10.8047368,106.6951393,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004adb0c1f:0xa9619d04899e2cb0!8m2!3d10.8047368!4d106.6951393!16s/g/11zhzcwjt6"
Ministop -  Trần Quốc Hoàn,"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",10.8058828,106.6642476,"https://www.google.com/maps/place/MINISTOP%2B-%2BTR%E1%BA%A6N%2BQU%E1%BB%90C%2BHO%C3%80N/@10.8058828,106.6642476,17z/data=!3m1!4b1!4m6!3m5!1s0x317529002bc94a43:0x69381db8ded344c4!8m2!3d10.8058828!4d106.6642476!16s/g/11xncrd93n"
Ministop -  Võ Oanh,"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",10.8043873,106.7160266,"https://www.google.com/maps/place/Ministop%2BVo%2BOanh/@10.8043873,106.7160266,17z/data=!3m1!4b1!4m6!3m5!1s0x317529acfbdb1863:0xa9a8653f253d6af6!8m2!3d10.8043873!4d106.7160266!16s/g/11t7dw7kc9"
Ministop -  Tô Vĩnh Diện,"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.8523923,106.7667698,"https://www.google.com/maps/place/MINISTOP%2BS264%2B-%2BT%C3%94%2BV%C4%A8NH%2BDI%E1%BB%86N/@10.8523923,106.7667698,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270067c951e1:0x7c0e13de2d04a91!8m2!3d10.8523923!4d106.7667698!16s/g/11xlpl0qd_"
Ministop -  Hoàng Việt 3,"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",10.7953043,106.6590358,"https://www.google.com/maps/place/Ministop%2B-%2BS263%2B-%2BHo%C3%A0ng%2BVi%E1%BB%87t/@10.7953043,106.6590358,17z/data=!3m1!4b1!4m6!3m5!1s0x317529007611b5d1:0x528700dbb7bb77e7!8m2!3d10.7953043!4d106.6590358!16s/g/11y7jz_j_q"
Ministop -  Đường số 20,"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.8277355,106.7228442,"https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2B261%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B20/@10.8277355,106.7228442,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004175dbe3:0xe58865645e8ed5a0!8m2!3d10.8277355!4d106.7228442!16s/g/11wc4j87ry"
Ministop -  Đường số 1,"124 Đường số 01, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh.",10.8458136,106.6613865,"https://www.google.com/maps/place/Ministop%2B%C4%91%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B1/@10.8458136,106.6613865,17z/data=!3m1!4b1!4m6!3m5!1s0x3175290025ddc723:0x838d0d38b6e3fb57!8m2!3d10.8458136!4d106.6613865!16s/g/11wq97szbh"
Ministop -  Lý Chính Thắng,"226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh.",10.7789479,106.6818124,"https://www.google.com/maps/place/CHTL%2BMinistop%2B-%2BS260%2B-%2BL%C3%BD%2BCh%C3%ADnh%2BTh%E1%BA%AFng/@10.7789479,106.6818124,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f006ffb8135:0xcd8bf4d969c7c31f!8m2!3d10.7789479!4d106.6818124!16s/g/11w4cb_56h"
